Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,QualityFlag,Source,Site,Latitude,Longitude,doi,Notes
16.13,,,288.699649,231.196844,346.202454,0,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
16.7624,,,251,134.877097,607.609516,0,Ji et al 2018,Ji2018,,,,
17.5,,,260.595223,125.370949,609.452209,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
17.8,,,237,73,1017,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
18,,,160,47,694,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
18.2,,,274,183,400,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
21,,,312,156,624,1,"Ekart et al., 1999",Huete,,,https://doi.org/10.2475/ajs.299.10.805,
23,,,203.002584,97.1030377,492.510522,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
25.165,27.29,23.04,588,294,1176,1,"Ekart et al., 1999",Salla,,,https://doi.org/10.2475/ajs.299.10.805,
31.6,35.5,27.7,264.599061,132.299531,529.198122,0,"Srivastava et al., 2013",S2013,,,,
31.6,35.5,27.7,376.834709,188.417354,753.669418,0,"Srivastava et al., 2013",S2013,,,,
34.17,,,399.28,126.96,671.6,0,"Kohn et al., 2015",K2015,,,,
45,,,780,390,1560,1,"Ekart et al., 1999",Claron,,,https://doi.org/10.2475/ajs.299.10.805,
50.4846,50.5346,50.4346,683.761,574.359,806.838,0,"Hyland & Sheldon, 2013",HS2013,,,,
50.7313,50.7813,50.6813,396.581,246,533.333,0,"Hyland & Sheldon, 2013",HS2013,,,,
50.8899,50.9399,50.8399,177.778,109.402,246.154,0,"Hyland & Sheldon, 2013",HS2013,,,,
51.1101,51.1601,51.0601,1285.47,1025.64,1531.62,0,"Hyland & Sheldon, 2013",HS2013,,,,
51.14,51.24,51.04,725,640,800,0,"Hyland et al., 2013",Hy2013,,,,
51.2335,51.2835,51.1835,1353.85,1258.12,1449.57,0,"Hyland & Sheldon, 2013",HS2013,,,,
51.3744,51.4244,51.3244,970.94,834.188,1107.69,0,"Hyland & Sheldon, 2013",HS2013,,,,
51.4626,51.5126,51.4126,1709.4,1435.9,2000,0,"Hyland & Sheldon, 2013",HS2013,,,,
51.5154,51.5654,51.4654,1299.15,1066.67,1490.6,0,"Hyland & Sheldon, 2013",HS2013,,,,
51.7797,51.8297,51.7297,902.564,738.462,1067,0,"Hyland & Sheldon, 2013",HS2013,,,,
51.84,51.94,51.74,1210,1030,1400,0,"Hyland et al., 2013",Hy2013,,,,
51.9,52,51.8,1260,1075,1440,0,"Hyland et al., 2013",Hy2013,,,,
51.9824,52.0324,51.9324,300.855,218.803,382.906,0,"Hyland & Sheldon, 2013",HS2013,,,,
52.57,52.67,52.47,750,630,880,0,"Hyland et al., 2013",Hy2013,,,,
52.81,52.91,52.71,400,275,530,0,"Hyland et al., 2013",Hy2013,,,,
53.5,55,52,80,40,160,1,"Cerling, 1992",C92,,,,
54.166,54.466,53.866,813.6,406.8,1627.2,1,"Royer et al., 2001b",R2001,,,,
54.856,55.156,54.556,230.8,115.4,461.6,1,"Royer et al., 2001b",R2001,,,,
55.4,56,55,460.8,230.4,921.6,1,"Royer et al., 2001b",R2001,,,,
55.5,56,55,328,164,656,1,"Koch et al., 1992",K1992,,,,
55.5,55.7,55.1,100,50,200,1,"Sinha & Stott, 1994",SS1994,,,,
55.725,56.025,55.425,486.8,243.4,973.6,1,"Royer et al., 2001b",R2001,,,,
55.943,57,56,579.2,289.6,1158.4,1,"Royer et al., 2001b",R2001,,,,
56.5,57,56,428,214,856,1,"Koch et al., 1992",K1992,,,,
56.5,56.243,55.643,100,50,200,1,"Sinha & Stott, 1994",SS1994,,,,
56.543,56.843,56.243,816.4,408.2,1632.8,1,"Royer et al., 2001b",R2001,,,,
56.954,57.254,56.654,474,237,948,1,"Royer et al., 2001b",R2001,,,,
60.73,62.22,59.24,-29,-109,60,1,"Ekart et al., 1999",Javelina Black Peaks,,https://doi.org/10.2475/ajs.299.10.805,Zero values were reported in Foster et al however original publication does not match. Recalculated CO2 from original pub values with Sz of 2000,
63.6,,,234.648212,188.189042,281.107381,0,"Huang et al., 2013",H2013,,,,
63.7,,,212.051517,148.000765,276.102268,0,"Huang et al., 2013",H2013,,,,
64.37,65.37,63.37,88.0518224,44.0259112,176.103645,1,"Nordt et al., 2003",N2003,,,,
64.6,,,199.594767,143.879663,255.309871,0,"Huang et al., 2013",H2013,,,,
64.61,65.61,63.61,111.169322,55.5846608,222.338643,1,"Nordt et al., 2003",N2003,,,,
64.7,,,288.941274,188.192014,389.690534,0,"Huang et al., 2013",H2013,,,,
64.77,65.77,63.77,177.525904,88.7629518,355.051807,1,"Nordt et al., 2003",N2003,,,,
64.815,64.96,64.67,400,200,800,1,"Nordt et al., 2002",N2002,,,,
64.9,,,175.130692,127.367776,222.893608,0,"Huang et al., 2013",H2013,,,,
64.91,65.91,63.91,53.7518594,26.8759297,107.503719,1,"Nordt et al., 2003",N2003,,,,
65,,,357.493018,260.161871,454.824165,0,"Huang et al., 2013",H2013,,,,
65.08,66.08,64.08,183.114299,91.5571495,366.228598,1,"Nordt et al., 2003",N2003,,,,
65.1,66.24,64.24,277.658055,200.086182,355.229929,0,"Huang et al., 2013",H2013,,,,
65.15,66.15,64.15,178.066926,89.033463,356.133852,1,"Nordt et al., 2003",N2003,,,,
65.2,,,360.483742,188.794649,532.172836,0,"Huang et al., 2013",H2013,,,,
65.24,,,277.332305,138.666153,554.66461,1,"Nordt et al., 2003",N2003,,,,
65.325,65.69,64.96,340,170,680,1,"Nordt et al., 2002",N2002,,,,
65.4,,,297.773578,196.403849,399.143306,0,"Huang et al., 2013",H2013,,,,
65.43,66.43,64.43,90.2396954,45.1198477,180.479391,1,"Nordt et al., 2003",N2003,,,,
65.5,66.5,64.5,0,10,0,1,"Nordt et al., 2003",N2003,,,,
65.5,66.5,64.5,42.4755838,21.2377919,84.9511675,1,"Nordt et al., 2003",N2003,,,,
65.52,,,1187,967,1407,0,Zhang et al 2018,Z2018,,,,
65.69,,,1048,746,1350,0,Zhang et al 2018,Z2018,,,,
65.78,,,1180,963,1397,0,Zhang et al 2018,Z2018,,,,
65.79,,,1075,701,1449,0,Zhang et al 2018,Z2018,,,,
65.81,,,938,688,1188,0,Zhang et al 2018,Z2018,,,,
65.82,,,1238,750,1726,0,Zhang et al 2018,Z2018,,,,
65.875,66.25,65.5,300,150,600,1,"Nordt et al., 2002",N2002,,,,
65.88,,,800,517,1083,0,Zhang et al 2018,Z2018,,,,
65.92,,,1251,899,1603,0,Zhang et al 2018,Z2018,,,,
65.98,,,806,425,1187,0,Zhang et al 2018,Z2018,,,,
66.11,,,701,372,1030,0,Zhang et al 2018,Z2018,,,,
66.22,,,1059,752,1366,0,Zhang et al 2018,Z2018,,,,
66.26,,,1468,1086,1850,0,Zhang et al 2018,Z2018,,,,
66.31,,,863,449,1277,0,Zhang et al 2018,Z2018,,,,
66.39,,,1285,977,1593,0,Zhang et al 2018,Z2018,,,,
66.5,,,491.867018,395.49164,588.242395,0,"Huang et al., 2013",H2013,,,,
66.6,,,870,633,1107,0,Zhang et al 2018,Z2018,,,,
66.78,,,348,159,537,0,Zhang et al 2018,Z2018,,,,
66.92,,,665,348,982,0,Zhang et al 2018,Z2018,,,,
67.175,68.1,66.25,300,150,600,1,"Nordt et al., 2002",N2002,,,,
67.175,68.1,66.25,560,280,1120,1,"Nordt et al., 2002",N2002,,,,
67.24,,,806,525,1087,0,Zhang et al 2018,Z2018,,,,
67.39,,,587,111,1063,0,Zhang et al 2018,Z2018,,,,
67.5,68.5,66.5,10.4303852,5.2151926,20.8607704,1,"Nordt et al., 2003",N2003,,,,
67.66,68.66,66.66,170.689986,85.3449932,341.379973,1,"Nordt et al., 2003",N2003,,,,
67.81,68.81,66.81,109.749774,54.8748869,219.499548,1,"Nordt et al., 2003",N2003,,,,
67.98,68.98,66.98,158.361298,79.1806491,316.722596,1,"Nordt et al., 2003",N2003,,,,
68,,,1228,705,1751,0,Zhang et al 2018,Z2018,,,,
68.1,69.1,67.1,138.293818,69.146909,276.587636,1,"Nordt et al., 2003",N2003,,,,
68.12,,,987,600,1374,0,Zhang et al 2018,Z2018,,,,
68.25,69.25,67.25,202.23822,101.11911,404.47644,1,"Nordt et al., 2003",N2003,,,,
68.3,,,175.010506,102.352715,247.668297,0,"Huang et al., 2013",H2013,,,,
68.37,69.37,67.37,145.040046,72.520023,290.080092,1,"Nordt et al., 2003",N2003,,,,
68.45,,,1333,882,1784,0,Zhang et al 2018,Z2018,,,,
68.5,,,1686,1264,2108,0,Zhang et al 2018,Z2018,,,,
68.53,69.53,67.53,344.567439,172.283719,689.134877,1,"Nordt et al., 2003",N2003,,,,
68.61,,,1132,846,1418,0,Zhang et al 2018,Z2018,,,,
68.62,,,1212,801,1623,0,Zhang et al 2018,Z2018,,,,
68.69,69.69,67.69,203.577259,101.788629,407.154518,1,"Nordt et al., 2003",N2003,,,,
68.87,,,1609,1093,2125,0,Zhang et al 2018,Z2018,,,,
68.88,69.88,67.88,309.11131,154.555655,618.22262,1,"Nordt et al., 2003",N2003,,,,
68.93,,,1850,1351,2349,0,Zhang et al 2018,Z2018,,,,
69,70,68,375.460008,187.730004,750.920015,1,"Nordt et al., 2003",N2003,,,,
69.06,70.06,68.06,328.673336,164.336668,657.346672,1,"Nordt et al., 2003",N2003,,,,
69.105,72.17,66.04,60,30,120,1,"Andrews et al., 1995",A95,,,,
69.105,72.17,66.04,172,86,344,1,"Ekart et al., 1999",Javelina,,,https://doi.org/10.2475/ajs.299.10.805,
69.105,72.17,66.04,252,126,504,1,"Ekart et al., 1999",Provence,,,https://doi.org/10.2475/ajs.299.10.805,
69.105,72.17,66.04,328,164,656,1,"Ekart et al., 1999",North Horn,,,https://doi.org/10.2475/ajs.299.10.805,
69.18,,,813,497,1129,0,Zhang et al 2018,Z2018,,,,
69.2,70.2,68.2,121.591993,60.7959966,243.183986,1,"Nordt et al., 2003",N2003,,,,
69.33,70.33,68.33,38.1927251,19.0963626,76.3854502,1,"Nordt et al., 2003",N2003,,,,
69.39,,,894,585,1203,0,Zhang et al 2018,Z2018,,,,
69.49,70.49,68.49,125.892509,62.9462546,251.785018,1,"Nordt et al., 2003",N2003,,,,
69.64,,,2175,1641,2709,0,Zhang et al 2018,Z2018,,,,
69.88,,,1856,1209,2503,0,Zhang et al 2018,Z2018,,,,
70.08,,,1264,732,1796,0,Zhang et al 2018,Z2018,,,,
70.35,71.35,69.35,254.208212,127.104106,508.416424,1,"Nordt et al., 2003",N2003,,,,
70.36,,,1248,756,1740,0,Zhang et al 2018,Z2018,,,,
70.45,71.45,69.45,289.247527,144.623763,578.495053,1,"Nordt et al., 2003",N2003,,,,
70.6,71.6,69.6,294.346229,147.173115,588.692458,1,"Nordt et al., 2003",N2003,,,,
71.05,,,3460,2741,4179,0,Zhang et al 2018,Z2018,,,,
71.43,,,1553,1099,2007,0,Zhang et al 2018,Z2018,,,,
72.1,,,680,443,917,0,Zhang et al 2018,Z2018,,,,
72.28,,,992,701,1283,0,Zhang et al 2018,Z2018,,,,
72.55,,,2454,1569,3339,0,Zhang et al 2018,Z2018,,,,
72.98,,,1473,952,1994,0,Zhang et al 2018,Z2018,,,,
73.83,,,1660,1051,2269,0,Zhang et al 2018,Z2018,,,,
74.23,,,1396,863,1929,0,Zhang et al 2018,Z2018,,,,
77.125,80,74.25,480,240,960,1,"Nordt et al., 2002",N2002,,,,
77.91,83.65,72.17,504,252,1008,1,"Ekart et al., 1999",Kaiparowitz,,,https://doi.org/10.2475/ajs.299.10.805,
77.91,83.65,72.17,1180,590,2360,1,"Ekart et al., 1999",Two Medicine,,https://doi.org/10.2475/ajs.299.10.805,,
83,,,1522,761,3044,0,"Hong & Lee, 2012",HL2012,,,,
83.25,100.5,66,740,370,1480,1,"Ghosh et al., 2005 (and 1995, 2001)",Lameta,,,,
92.15,93,91.3,1334.5,667.25,2669,0,"Sandler, 2006",S2006,,,,
95.25,100.5,90,1307.2,653.6,2614.4,0,"Leier et al., 2009",L2009,,,,
98,,,1520,760,3040,0,"Hong & Lee, 2012",HL2012,,,,
100,,,746,373,1492,0,"Ludvigson et al., 2015",L2015,,,,
100.5,,,1368,684,2736,0,"Hong & Lee, 2012",HL2012,,,,
100.8,,,763.2,381.6,1526.4,0,"Li et al., 2014",L2014,,,,
102,,,1428,714,2856,0,"Hong & Lee, 2012",HL2012,,,,
102.4,,,620.8,310.4,1241.6,0,"Li et al., 2014",L2014,,,,
102.5,,,886,443,1772,0,"Ludvigson et al., 2015",L2015,,,,
103.1,,,792,396,1584,0,"Li et al., 2014",L2014,,,,
103.3,,,1052,526,2104,0,"Li et al., 2014",L2014,,,,
103.5,,,1060,530,2120,0,"Hong & Lee, 2012",HL2012,,,,
104.6,,,1246.4,623.2,2492.8,0,"Li et al., 2014",L2014,,,,
104.7,,,1139.2,569.6,2278.4,0,"Li et al., 2014",L2014,,,,
104.8,,,1254.4,627.2,2508.8,0,"Li et al., 2014",L2014,,,,
106.1,,,1399.2,699.6,2798.4,0,"Li et al., 2014",L2014,,,,
106.4,,,1474.4,737.2,2948.8,0,"Li et al., 2014",L2014,,,,
106.5,,,1679.2,839.6,3358.4,0,"Li et al., 2014",L2014,,,,
106.6,,,1496.8,748.4,2993.6,0,"Li et al., 2014",L2014,,,,
106.85,113.2,100.5,600,300,1200,1,"Cerling, 1992",C92,,,,
106.9,,,1496,748,2992,0,"Li et al., 2014",L2014,,,,
107.8,,,1200.8,600.4,2401.6,0,"Li et al., 2014",L2014,,,,
108.8,,,1015.2,507.6,2030.4,0,"Li et al., 2014",L2014,,,,
110.3,,,1064.8,532.4,2129.6,0,"Li et al., 2014",L2014,,,,
110.95,121.4,100.5,591.2,295.6,1182.4,0,"Leier et al., 2009",L2009,,,,
111.1,,,1636.8,818.4,3273.6,0,"Li et al., 2014",L2014,,,,
111.5,,,1966.4,983.2,3932.8,0,"Li et al., 2014",L2014,,,,
111.5,,,996,498,1992,0,"Ludvigson et al., 2015",L2015,,,,
111.8,,,1880,940,3760,0,"Li et al., 2014",L2014,,,,
112.3,,,1828.8,914.4,3657.6,0,"Li et al., 2014",L2014,,,,
112.7,,,1419.2,709.6,2838.4,0,"Li et al., 2014",L2014,,,,
113.5,,,449,224.5,898,0,"Hong & Lee, 2012",HL2012,,,,
113.5,,,1335,667.5,2670,0,"Ludvigson et al., 2015",L2015,,,,
113.8,,,1295.2,647.6,2590.4,0,"Li et al., 2014",L2014,,,,
114.8,,,1514.4,757.2,3028.8,0,"Li et al., 2014",L2014,,,,
114.9,,,1426.4,713.2,2852.8,0,"Li et al., 2014",L2014,,,,
115.3,,,1367.2,683.6,2734.4,0,"Li et al., 2014",L2014,,,,
115.5,,,986,493,1972,0,"Ludvigson et al., 2015",L2015,,,,
116,,,1071,535.5,2142,0,"Ludvigson et al., 2015",L2015,,,,
116.1,,,1665.6,832.8,3331.2,0,"Li et al., 2014",L2014,,,,
116.5,,,1190,595,2380,0,"Ludvigson et al., 2015",L2015,,,,
117.3,121.4,113.2,592,296,1184,0,"Ekart et al., 1999",Glance,,,https://doi.org/10.2475/ajs.299.10.805,
117.3,121.4,113.2,904,452,1808,0,"Ekart et al., 1999",Cloverly,,,https://doi.org/10.2475/ajs.299.10.805,
117.3,121.4,113.2,1076,538,2152,0,"Ekart et al., 1999",Kootenai,,,https://doi.org/10.2475/ajs.299.10.805,
117.3,121.4,113.2,1084,542,2168,0,"Ekart et al., 1999",Cedar Mountain,,https://doi.org/10.2475/ajs.299.10.805,,
117.8,,,1364,682,2728,0,"Li et al., 2014",L2014,,,,
119.4,,,1179,589.5,2358,0,"Ludvigson et al., 2015",L2015,,,,
122,134,110,653.333333,326.666667,1306.66667,0,"Lee & Hisada, 1999  (updated by Hong and Lee, 2012)",LS1999,,,,
122.7,124,121.4,392.528548,234.035889,551.021207,0,"Huang et al., 2012",H2012,,,,
123.3,,,736,368,1472,0,"Li et al., 2014",L2014,,,,
123.6,,,607.2,303.6,1214.4,0,"Li et al., 2014",L2014,,,,
123.7,,,824,412,1648,0,"Li et al., 2014",L2014,,,,
123.8,,,1017.6,508.8,2035.2,0,"Li et al., 2014",L2014,,,,
125.25,126.5,124,112,56,224,1,"Robinson et al., 2002",R2002,,,,age adjusted for GTS2020
126.4,,,1064.8,532.4,2129.6,0,"Li et al., 2014",L2014,,,,
126.6,,,1509.6,754.8,3019.2,0,"Li et al., 2014",L2014,,,,
127,132.6,121.4,1150,575,2300,0,"Lee, 1999",L1999,,,,
