Period,Epoch,Stage,UpperAge,LowerAge,AverageAge,GMST_05,GMST_16,GMST_50,GMST_84,GMST_95,CO2_05,CO2_16,CO2_50,CO2_84,CO2_95
Cretaceous,Upper,Coniacian,85.7,89.39,87.545,29.8526308727077,30.4297106140484,32.2555152424552,38.1025469737166,40.8165186095151,464.730112413519,552.772230637756,721.210007337203,946.428011115732,1165.31257248781
Cretaceous,Upper,Turonian,89.39,93.9,91.645,31.1116042205019,33.046674240384,35.5644121232914,40.9334557634192,43.7290631520248,587.524557382981,651.586852411771,753.985767874763,883.288875416691,977.593025352062
Cretaceous,Upper,Cenomanian,93.9,100.5,97.2,28.4502795359765,30.57751117081,34.1359578248804,39.2286848811894,40.220855787922,732.809369677162,782.781916334451,860.089281810033,943.011912805055,1003.63527774205
Cretaceous,Lower,Albian,100.5,113.2,106.85,23.0119362293657,24.2504283668213,26.0115083296659,28.5967117825129,31.048514187044,697.735377721542,742.47889408534,812.414710492401,888.429745561243,943.942939148429
Cretaceous,Lower,Aptian,113.2,121.4,117.3,24.389848587773,26.6763214462098,32.0025039577799,36.7469334946286,37.541558066846,727.159602908145,779.725530085656,866.757338043835,960.97166182521,1027.83779904679
Cretaceous,Lower,Barremian,121.4,126.5,123.95,22.9274190114728,25.094035291025,30.5155350663859,33.7425234536012,34.9544920333413,569.205203248357,637.323584123834,752.245016279187,872.41313838619,964.79779585974
Cretaceous,Lower,Hauterivian,126.5,132.6,129.55,20.8410430222392,22.6302304516647,27.2744408860988,30.4526885949747,31.345381659959,507.450134292618,617.344946891236,810.279301794245,1009.19542171399,1150.43536209731
Cretaceous,Lower,Valanginian,132.6,137.7,135.15,22.4774008020106,24.7079543852531,28.2458879572826,33.0498724331499,37.725261742297,543.224772232909,664.189301645363,841.900295155674,1030.72903129495,1168.25016996321
Cretaceous,Lower,Berriasian,137.7,143.1,140.4,21.2669358471645,23.4182435744073,27.0009247295016,31.1123239381776,35.2026236805896,653.861326650624,723.238103472335,829.716393391664,945.980908507017,1035.74681032644
Jurassic,Upper,Tithonian,143.1,149.24,146.17,23.7302507186534,24.896937054639,27.2664188903499,29.4603693590208,31.3541713748046,566.519569002505,623.655918703203,724.008187456648,833.79141840474,913.184535435501
Jurassic,Upper,Kimmeridgian,149.24,154.78,152.01,21.1801677012507,22.2942456603603,24.4651398497498,27.6303167155082,29.6258551395484,604.882199963072,667.806189172651,770.635993596644,897.010039522213,983.325985442115
Jurassic,Upper,Oxfordian,154.78,161.53,158.155,21.3838303066822,22.2434164302488,23.8791170307549,27.9492950068192,30.1355251187081,528.382284517397,605.148351315015,740.513621089607,900.05508899893,1036.09825081779
Jurassic,Middle,Callovian,161.53,165.29,163.41,16.974522170102,18.4347210796268,20.1145628110959,22.3190306947092,24.399674914738,530.153315736986,654.593398198638,871.494008772935,1210.12569262343,1606.08705121871
Jurassic,Middle,Bathonian,165.29,168.17,166.73,11.1001130122243,14.4247716094272,17.7747181126215,19.4791660025353,20.6764926724101,633.382249833326,743.503083322373,935.557957223417,1181.76198760397,1389.43427529433
Jurassic,Middle,Bajocian,168.17,170.9,169.535,14.3700515086335,18.1532799745245,21.3948194597495,23.0815583259898,23.9134598452442,656.511901772713,751.905130615348,898.773032407811,1083.62580911958,1217.84718755157
Jurassic,Middle,Aalenian,170.9,174.7,172.8,16.2604481338206,19.9654082534462,23.1957686423381,26.1300289503075,28.8044492117906,803.377721621965,912.188580957389,1091.74693627681,1293.20874150964,1469.84700443768
Jurassic,Lower,Toarcian,174.7,184.2,179.45,23.1675691618204,24.7007682909162,26.3711989187389,28.2585710575907,29.6264239162354,611.535647942985,681.002334115957,797.093568016055,930.086352980657,1031.33357211632
Jurassic,Lower,Pliensbachian,184.2,192.9,188.55,20.8586759368424,22.0198608964747,24.1045697532695,28.2141266657847,30.7583574110906,594.648295619132,678.026855523721,821.758103695827,995.617227564017,1133.56145398095
Jurassic,Lower,Sinemurian/Hettangian,192.9,201.36,197.13,21.1736480460573,22.7796475794187,25.0557075326596,28.2307499464897,30.4200464032064,601.234445103437,796.276527392093,1065.77303886273,1369.41714969204,1762.22745016449
Triassic,Upper,Rhaetian,201.36,205.74,203.55,18.5103631021901,19.7917812898504,22.3177277790797,24.4587004616557,25.7680680350302,1034.7445638028,1121.50316119348,1265.81183806483,1436.64554153159,1549.72368618694
Triassic,Upper,Norian,205.74,227.3,216.52,21.0403564779245,22.2833303482021,25.0210350893564,27.4765702941958,28.6780633188448,739.643864571675,831.444426449226,1005.01818240803,1248.55773137596,1444.98192302198
Triassic,Upper,Carnian,227.3,237,232.15,18.0805617532787,20.2929159155331,23.4281859118996,27.0772031714503,29.4746974658182,710.82442791497,800.594888357419,954.174026584212,1141.73562179986,1292.06452111953
Triassic,Middle,Ladinian,237,241.46,239.23,9.29212400000762,12.4583867751068,19.1790298416314,23.1129655612149,24.7071968909102,401.437836634329,516.402946642235,714.232564527727,1039.92621073514,1374.6101855206
Triassic,Middle,Anisian/Olenekian,241.46,249.88,245.67,20.1448972652652,22.6217057773215,25.8246756955787,29.2798732770536,32.6167553254379,155.38520713717,320.138699596186,654.887332929387,1248.28156948002,2476.88576508772
Triassic,Lower,Induan,249.88,251.9,250.89,24.3464119813878,25.9710112368103,28.4989203320791,30.9767480113184,32.0610721380721,433.83335106314,523.511186949064,710.515888801594,1117.34538465649,1685.05303028843
Permian,Lopingian,Changhsingian,251.9,254.24,253.07,14.2895785602182,15.950585099223,18.0194011085218,19.7216028707683,20.6995712187052,483.754202881995,579.172852161078,789.330571609432,1134.9413041004,1546.03959115361
Permian,Lopingian,Wuchiapingian,254.24,259.55,256.895,19.1420808730492,20.479076178325,22.1920115915007,23.722564063446,24.6138049706385,356.446561213107,440.837712091641,603.759170658111,843.792716340028,1097.61236267829
Permian,Guadalupian,Capitanian/Wordian,259.55,269.21,264.38,14.3045635692391,16.0374934327491,18.6812393483702,20.8454744580319,22.0618708589371,228.306769683368,318.342959384736,472.737779546927,668.305467218606,831.39778637047
Permian,Guadalupian,Roadian,269.21,274.37,271.79,8.76863003232756,10.795404796134,13.5035131431753,16.3697101490621,18.2858220382269,159.167972481647,216.947215781369,338.835644440624,498.641423898657,640.765010316084
Permian,Cisuralian,Kungurian,274.37,283.3,278.835,15.0771890215388,16.4985595563504,18.6979375488031,21.4972958642195,24.3907020314695,420.426416241758,496.310374305044,662.432477876803,933.65581261204,1245.88606498216
Permian,Cisuralian,Artinskian,283.3,290.51,286.905,15.561082106011,17.5526262821352,20.7605804172937,22.9755724441425,24.2200938589703,212.499168025327,343.761386143025,763.724039381352,1512.43483590172,2543.09276980825
Permian,Cisuralian,Sakmarian,290.51,293.52,292.015,12.5758438789459,16.0681631168053,20.7998383208878,24.2489491150565,26.1030775465358,118.14559067242,201.545849312466,467.528617926574,1050.9065153564,1540.25191834113
Permian,Cisuralian,Asselian,293.52,298.89,296.205,15.2008994711743,17.2839104454898,20.246530717921,23.4125248436264,27.3910724601633,81.7456852579007,191.532413947858,516.704688482473,1205.24224190966,1864.47561141785
Carboniferous,Upper,Gzhelian,298.89,303.68,301.285,14.2693157792763,15.0943877057287,16.5457003488786,18.266730243663,19.6091246818926,207.275282838778,294.619061685298,457.973568229035,754.877498785071,1149.34025939762
Carboniferous,Upper,Kasimovian,303.68,307.02,305.35,11.3164004556692,12.6475389728775,14.4595519577255,16.764543966061,18.2872422068323,158.299320185336,250.097967111627,426.458492106727,795.687216838058,1239.23664010337
Carboniferous,Middle,Moscovian,307.02,315.15,311.085,14.9952767708379,16.1500654325561,18.0930682798576,20.7071013036417,22.6250529351131,182.631482656135,235.355529498982,337.421663600758,488.172166373538,662.902803162027
